",Type selection,Temps d'execution, Meilleur score, Nombre d'individu, Nombre generation, Mutation, Survivants,"
",selection_par_rang,5.827422618865967,335.634611115273,50,10,0.001,20,"
",selection_proportionnelle,5.833399772644043,744.7217759290057,50,10,0.001,20,"
",selection_duel,7.547814607620239,536.2585790737938,50,10,0.001,10,"
",selection_duel_pondere,8.160851240158081,295.13374641850896,50,10,0.001,10,"
",selection_p_best,5.310966730117798,618.3886943722617,50,10,0.001,25,"
",selection_par_rang,5.201127767562866,217.1303491463755,50,10,0.001,25,"
",selection_proportionnelle,5.2269837856292725,573.7789530994144,50,10,0.001,25,"
",selection_duel,7.253601551055908,387.1510404364107,50,10,0.001,12,"
",selection_duel_pondere,7.212783336639404,342.76977896977684,50,10,0.001,12,"
",selection_p_best,4.130990743637085,293.80818194424387,50,10,0.001,30,"
",selection_par_rang,4.151073455810547,742.9745899264058,50,10,0.001,30,"
",selection_proportionnelle,4.165863990783691,393.0757950077499,50,10,0.001,30,"
",selection_duel,6.7918314933776855,875.1725901427257,50,10,0.001,15,"
",selection_duel_pondere,6.830732583999634,555.7486186768239,50,10,0.001,15,"
",selection_p_best,3.500600576400757,559.3102708172869,50,10,0.001,35,"
",selection_par_rang,3.5495445728302,1005.5901219542882,50,10,0.001,35,"
",selection_proportionnelle,3.4916629791259766,713.9722704461367,50,10,0.001,35,"
",selection_duel,6.506594657897949,423.38060169374364,50,10,0.001,17,"
",selection_duel_pondere,6.461724758148193,661.357614517639,50,10,0.001,17,"
",selection_p_best,2.48335862159729,691.6356112028691,50,10,0.001,40,"
",selection_par_rang,2.4903364181518555,812.5141101249301,50,10,0.001,40,"
",selection_proportionnelle,2.503312110900879,789.3103631142731,50,10,0.001,40,"
",selection_duel,5.837386846542358,641.1020480331244,50,10,0.001,20,"
",selection_duel_pondere,5.817442893981934,895.1449519197628,50,10,0.001,20,"
",selection_p_best,1.8271167278289795,987.883537854228,50,10,0.001,45,"
",selection_par_rang,1.8071625232696533,858.6110464848093,50,10,0.001,45,"
",selection_proportionnelle,1.831099033355713,778.5438423773431,50,10,0.001,45,"
",selection_duel,5.46235990524292,403.4526775248389,50,10,0.001,22,"
",selection_duel_pondere,5.4613940715789795,685.1774675302312,50,10,0.001,22,"
",selection_p_best,8.440428018569946,411.5353019760623,50,10,0.005,5,"
",selection_par_rang,8.431453704833984,376.9641851373249,50,10,0.005,5,"
